"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C501","Cradial_smd1","21.5mm","94.5mm","21.5mm","94.5mm","21.5mm","92mm","T","90.00","Cap Pol2"
"W1","0402","12.875mm","38.8mm","12.875mm","38.8mm","12.875mm","38.3mm","T","90.00","0402 jumper"
"W2","0402","13.95mm","38.8mm","13.95mm","38.8mm","13.95mm","38.3mm","T","90.00","0402 jumper"
"W3","0402","4.925mm","43.3mm","4.925mm","43.3mm","4.925mm","43.8mm","T","270.00","0402 jumper"
"W4","0402","3.875mm","43.3mm","3.875mm","43.3mm","3.875mm","43.8mm","T","270.00","0402 jumper"
"COUT14","C1812","14.75mm","87.2mm","14.75mm","87.25mm","14.75mm","84.75mm","T","90.00","100uF,6.3V"
"C245","0402","20.5924mm","20.1mm","20.5674mm","20.0749mm","20.0924mm","20.1mm","T","90.00","100nF"
"C244","0402","20.5924mm","18.6mm","20.5674mm","18.5749mm","20.0924mm","18.6mm","T","90.00","100nF"
"C243","0402","20.5924mm","16.9mm","20.5674mm","16.8749mm","20.0924mm","16.9mm","T","90.00","100nF"
"C242","0402","20.5924mm","15.3mm","20.5674mm","15.2749mm","20.0924mm","15.3mm","T","90.00","100nF"
"C241","0402","22.312mm","13.8424mm","22.3371mm","13.8174mm","22.312mm","13.3424mm","T","180.00","100nF"
"C240","0402","24.224mm","13.7924mm","24.2491mm","13.7674mm","24.224mm","13.2924mm","T","180.00","100nF"
"C239","0402","26.224mm","13.7924mm","26.2491mm","13.7674mm","26.224mm","13.2924mm","T","180.00","100nF"
"C238","0402","28.024mm","13.7924mm","28.0491mm","13.7674mm","28.024mm","13.2924mm","T","180.00","100nF"
"C237","0402","29.8mm","13.7924mm","29.8251mm","13.7674mm","29.8mm","13.2924mm","T","180.00","100nF"
"C236","0402","31.6mm","13.7924mm","31.6251mm","13.7674mm","31.6mm","13.2924mm","T","180.00","100nF"
"C235","0402","33.4mm","13.7924mm","33.4251mm","13.7674mm","33.4mm","13.2924mm","T","180.00","100nF"
"C234","0402","35.1mm","13.7924mm","35.1251mm","13.7674mm","35.1mm","13.2924mm","T","180.00","100nF"
"C233","0402","36.587mm","15.2249mm","36.612mm","15.25mm","37.087mm","15.2249mm","T","270.00","100nF"
"C232","0402","36.587mm","16.9249mm","36.612mm","16.95mm","37.087mm","16.9249mm","T","270.00","100nF"

